baristas,price,profit
3.0,8.0,1697.2
3.0,8.0,1258.1
3.0,8.0,1500.8
3.0,8.0,1158.3
3.0,8.0,1013.0
3.0,8.0,1223.7
3.0,8.0,1261.9
3.0,8.0,1520.4
3.0,8.0,1582.7
3.0,8.0,1386.0
3.0,8.0,1272.7
3.0,8.0,1293.1
3.0,8.0,1365.3
3.0,8.0,1462.2
3.0,8.0,1212.9
3.0,8.0,1310.0
3.0,8.0,1265.4
3.0,8.0,1441.5
3.0,8.0,1216.9
3.0,8.0,1421.1
3.0,8.0,896.0
3.0,8.0,1279.4
3.0,8.0,1131.2
3.0,8.0,1296.1
3.0,8.0,1299.6
3.0,8.0,1310.8
3.0,8.0,1455.4
3.0,8.0,1414.3
3.0,8.0,1410.3
3.0,8.0,1396.2
3.0,8.0,1130.7
3.0,8.0,1317.2
3.0,8.0,1327.5
3.0,8.0,1209.9
3.0,8.0,1354.6
