baristas,price,profit
2.0,10.0,1576.2
2.0,10.0,1736.7
2.0,10.0,1674.5
2.0,10.0,1558.7
2.0,10.0,1732.4
2.0,10.0,1540.8
2.0,10.0,1571.9
2.0,10.0,1513.7
2.0,10.0,1963.7
2.0,10.0,1741.3
2.0,10.0,1642.7
2.0,10.0,1438.3
2.0,10.0,1523.2
2.0,10.0,1674.8
2.0,10.0,1464.8
2.0,10.0,1594.4
2.0,10.0,1358.6
2.0,10.0,1594.7
2.0,10.0,1460.9
2.0,10.0,1830.4
2.0,10.0,1376.3
2.0,10.0,1719.2
2.0,10.0,1505.1
2.0,10.0,1732.7
2.0,10.0,1500.6
2.0,10.0,1428.8
2.0,10.0,1567.2
2.0,10.0,1656.6
2.0,10.0,1474.8
2.0,10.0,1375.7
